Current Generation |Worst Fitness  |Mean Fitness  |Best Fitness   |Lowest Bin Count
1                  |0.345591       |0.347153      |0.423691       |449              
2                  |0.345591       |0.348252      |0.423691       |449              
3                  |0.345591       |0.349490      |0.423691       |449              
4                  |0.345591       |0.350946      |0.423691       |449              
5                  |0.345591       |0.352567      |0.426664       |449              
6                  |0.345591       |0.354121      |0.426664       |449              
7                  |0.345591       |0.355234      |0.426664       |449              
8                  |0.345591       |0.356589      |0.426664       |449              
9                  |0.345591       |0.358084      |0.426664       |449              
10                 |0.345591       |0.359835      |0.433124       |443              
11                 |0.345591       |0.361275      |0.433124       |443              
12                 |0.345591       |0.362838      |0.433124       |443              
13                 |0.345591       |0.364579      |0.433124       |443              
14                 |0.345591       |0.365990      |0.433124       |443              
15                 |0.345591       |0.367419      |0.433124       |443              
16                 |0.345591       |0.369044      |0.433124       |443              
17                 |0.345591       |0.370578      |0.433124       |443              
18                 |0.345591       |0.371852      |0.433124       |443              
19                 |0.345591       |0.373290      |0.433124       |443              
20                 |0.345591       |0.374922      |0.433124       |443              
21                 |0.345591       |0.376094      |0.433124       |443              
22                 |0.345591       |0.377607      |0.433124       |443              
23                 |0.345591       |0.379097      |0.433124       |443              
24                 |0.345591       |0.380446      |0.433124       |443              
25                 |0.345591       |0.382002      |0.433124       |443              
26                 |0.345591       |0.383739      |0.433124       |443              
27                 |0.345591       |0.385269      |0.433124       |443              
28                 |0.345591       |0.386877      |0.433124       |443              
29                 |0.345591       |0.388102      |0.433124       |443              
30                 |0.345591       |0.389610      |0.433124       |443              
31                 |0.345591       |0.391162      |0.433124       |443              
32                 |0.345591       |0.392595      |0.433124       |443              
33                 |0.345591       |0.393819      |0.433124       |443              
34                 |0.345591       |0.395578      |0.433563       |442              
35                 |0.345591       |0.397319      |0.433563       |442              
36                 |0.345591       |0.398881      |0.433563       |442              
37                 |0.345591       |0.402062      |0.499583       |409              
38                 |0.345591       |0.402615      |0.499583       |409              
39                 |0.345591       |0.404010      |0.499583       |409              
40                 |0.345591       |0.405679      |0.499583       |409              
41                 |0.345591       |0.407181      |0.499583       |409              
42                 |0.345591       |0.408609      |0.499583       |409              
43                 |0.345591       |0.410424      |0.499583       |409              
44                 |0.345591       |0.413441      |0.499583       |409              
45                 |0.345591       |0.416498      |0.499583       |409              
46                 |0.345591       |0.419636      |0.499583       |409              
47                 |0.345591       |0.420340      |0.499583       |409              
48                 |0.345591       |0.421053      |0.499583       |409              
49                 |0.345591       |0.425978      |0.561554       |381              
50                 |0.345591       |0.428387      |0.561554       |381              
51                 |0.345591       |0.431754      |0.561554       |381              
52                 |0.345591       |0.435248      |0.561554       |381              
53                 |0.345591       |0.438231      |0.561554       |381              
54                 |0.345591       |0.439158      |0.561554       |381              
55                 |0.345591       |0.441870      |0.561554       |381              
56                 |0.345591       |0.444990      |0.561554       |381              
57                 |0.345591       |0.448681      |0.561554       |381              
58                 |0.345591       |0.451989      |0.561554       |381              
59                 |0.400908       |0.454121      |0.561554       |381              
60                 |0.401244       |0.457549      |0.561554       |381              
61                 |0.401244       |0.461174      |0.561554       |381              
62                 |0.404218       |0.464138      |0.561554       |381              
63                 |0.404218       |0.468055      |0.562056       |379              
64                 |0.407508       |0.470048      |0.562056       |379              
65                 |0.407508       |0.472198      |0.562056       |379              
66                 |0.415305       |0.474417      |0.562056       |379              
67                 |0.415305       |0.476298      |0.562056       |379              
68                 |0.416007       |0.479657      |0.562056       |379              
69                 |0.417218       |0.483434      |0.562056       |379              
70                 |0.417218       |0.486152      |0.562056       |379              
71                 |0.420362       |0.488187      |0.562056       |379              
72                 |0.420362       |0.491008      |0.562056       |379              
73                 |0.420700       |0.493794      |0.562056       |379              
74                 |0.420700       |0.496174      |0.562056       |379              
75                 |0.423691       |0.498712      |0.562056       |379              
76                 |0.423691       |0.501585      |0.562056       |379              
77                 |0.423719       |0.505304      |0.562056       |379              
78                 |0.423719       |0.507807      |0.562056       |379              
79                 |0.426027       |0.510754      |0.562056       |379              
80                 |0.426027       |0.514315      |0.585934       |368              
81                 |0.426664       |0.518626      |0.585934       |368              
82                 |0.426664       |0.521264      |0.585934       |368              
83                 |0.432599       |0.525239      |0.585934       |368              
84                 |0.432599       |0.529373      |0.595971       |367              
85                 |0.438269       |0.534891      |0.619450       |357              
86                 |0.486955       |0.538721      |0.619450       |357              
87                 |0.486955       |0.541760      |0.619450       |357              
88                 |0.486955       |0.546636      |0.623346       |356              
89                 |0.491192       |0.549270      |0.623346       |356              
90                 |0.491192       |0.553830      |0.628312       |353              
91                 |0.491192       |0.558488      |0.628312       |353              
92                 |0.497178       |0.562109      |0.628312       |353              
93                 |0.497178       |0.565067      |0.628312       |353              
94                 |0.497178       |0.568234      |0.628312       |353              
95                 |0.504886       |0.575944      |0.720584       |321              
96                 |0.504886       |0.579841      |0.720584       |321              
97                 |0.504886       |0.583578      |0.720584       |321              
98                 |0.513405       |0.586997      |0.720584       |321              
99                 |0.513405       |0.591945      |0.720584       |321              
100                |0.513405       |0.596130      |0.720584       |321              
101                |0.513934       |0.601180      |0.720584       |321              
102                |0.513934       |0.606706      |0.720584       |321              
103                |0.513934       |0.611239      |0.720584       |321              
104                |0.521067       |0.618179      |0.720584       |321              
105                |0.524258       |0.620987      |0.720584       |321              
106                |0.524258       |0.625745      |0.720584       |321              
107                |0.524258       |0.633338      |0.759358       |311              
108                |0.561554       |0.638098      |0.759358       |311              
109                |0.562277       |0.642848      |0.759358       |311              
110                |0.562277       |0.647470      |0.759358       |311              
111                |0.562277       |0.652439      |0.759358       |311              
112                |0.573403       |0.658504      |0.759358       |311              
113                |0.573403       |0.663627      |0.759358       |311              
114                |0.586891       |0.669177      |0.759358       |311              
115                |0.586891       |0.674486      |0.759358       |311              
116                |0.606837       |0.677132      |0.759358       |311              
117                |0.606837       |0.682139      |0.766517       |307              
118                |0.606837       |0.689911      |0.772099       |306              
119                |0.619450       |0.699376      |0.839547       |288              
120                |0.619450       |0.705872      |0.839547       |288              
121                |0.619450       |0.711482      |0.839547       |288              
122                |0.619450       |0.716807      |0.839547       |288              
123                |0.623346       |0.724345      |0.839547       |288              
124                |0.626448       |0.728253      |0.839547       |288              
125                |0.650612       |0.733335      |0.839547       |288              
126                |0.650612       |0.739582      |0.839547       |288              
127                |0.678146       |0.742066      |0.839547       |288              
128                |0.678146       |0.746751      |0.839547       |288              
129                |0.678146       |0.756050      |0.848020       |286              
130                |0.678146       |0.762377      |0.848020       |286              
131                |0.678146       |0.767229      |0.848020       |286              
132                |0.680497       |0.770810      |0.848020       |286              
133                |0.680497       |0.777704      |0.861117       |283              
134                |0.680497       |0.783436      |0.861117       |283              
135                |0.685709       |0.785438      |0.861117       |283              
136                |0.717098       |0.790110      |0.861117       |283              
137                |0.717098       |0.796802      |0.861117       |283              
138                |0.717098       |0.804996      |0.866838       |282              
139                |0.717098       |0.813057      |0.871177       |280              
140                |0.758089       |0.821460      |0.909994       |271              
141                |0.758089       |0.828736      |0.909994       |271              
142                |0.766517       |0.834010      |0.909994       |271              
143                |0.766517       |0.838501      |0.909994       |271              
144                |0.766517       |0.846219      |0.927264       |267              
145                |0.766517       |0.852011      |0.927264       |267              
146                |0.771457       |0.859514      |0.935440       |264              
147                |0.771457       |0.866701      |0.939217       |264              
148                |0.771457       |0.875088      |0.939217       |264              
149                |0.780562       |0.878995      |0.939217       |264              
150                |0.780562       |0.881599      |0.939217       |264              
151                |0.780562       |0.886251      |0.939217       |264              
152                |0.839547       |0.892877      |0.944267       |263              
153                |0.848020       |0.900314      |0.944267       |263              
154                |0.848020       |0.904052      |0.944267       |263              
155                |0.848020       |0.907416      |0.944267       |263              
156                |0.848020       |0.911581      |0.944267       |263              
157                |0.848020       |0.917541      |0.944267       |263              
158                |0.848020       |0.923056      |0.944267       |263              
159                |0.848020       |0.925199      |0.944267       |263              
160                |0.871177       |0.928020      |0.944267       |263              
161                |0.871177       |0.929606      |0.944267       |263              
162                |0.871177       |0.931666      |0.944267       |263              
163                |0.871177       |0.932389      |0.944267       |263              
164                |0.871177       |0.934266      |0.944267       |263              
165                |0.871177       |0.936136      |0.944267       |263              
166                |0.871177       |0.937857      |0.944267       |263              
167                |0.871177       |0.939446      |0.944292       |263              
168                |0.871177       |0.939475      |0.944292       |263              
169                |0.871177       |0.939087      |0.944292       |263              
170                |0.917217       |0.939775      |0.944292       |263              
171                |0.917217       |0.940338      |0.944292       |263              
172                |0.917217       |0.940323      |0.944292       |263              
173                |0.917217       |0.940345      |0.944292       |263              
174                |0.917885       |0.940372      |0.944292       |263              
175                |0.917885       |0.940453      |0.944292       |263              
176                |0.917885       |0.941032      |0.944292       |263              
177                |0.917885       |0.941283      |0.944292       |263              
178                |0.917885       |0.941319      |0.944292       |263              
179                |0.917885       |0.941520      |0.944292       |263              
180                |0.917885       |0.941489      |0.944292       |263              
181                |0.931149       |0.941592      |0.944292       |263              
182                |0.931149       |0.941739      |0.944292       |263              
183                |0.931149       |0.941826      |0.944292       |263              
184                |0.931149       |0.941844      |0.944292       |263              
185                |0.931149       |0.941947      |0.944292       |263              
186                |0.931149       |0.942455      |0.944292       |263              
187                |0.931479       |0.942465      |0.944292       |263              
188                |0.931479       |0.942008      |0.944292       |263              
189                |0.931479       |0.941609      |0.944292       |263              
190                |0.931479       |0.941794      |0.944292       |263              
191                |0.931479       |0.941793      |0.944292       |263              
192                |0.931479       |0.941793      |0.944292       |263              
193                |0.931479       |0.941934      |0.944292       |263              
194                |0.936633       |0.942117      |0.944292       |263              
195                |0.936633       |0.942157      |0.944292       |263              
196                |0.936633       |0.942121      |0.944292       |263              
197                |0.936837       |0.942135      |0.944292       |263              
198                |0.937490       |0.942187      |0.944292       |263              
199                |0.937490       |0.942177      |0.944292       |263              
200                |0.937582       |0.942679      |0.944292       |263              
201                |0.937582       |0.942729      |0.944292       |263              
